#Q      I(Q)        error
0.02659 0.010921    0.000706923
0.03014 0.0109442   0.000410347
0.03368 0.0108963   0.000419123
0.03722 0.0107645   0.000357012
0.04076 0.0103214   0.00037269
0.0443  0.00995252  0.000335978
0.04784 0.00963829  0.000326516
0.05138 0.00947411  0.000308664
0.05491 0.00965882  0.000276651
0.05845 0.00917411  0.000298228
0.06198 0.00869247  0.000293718
0.06551 0.00870204  0.000294628
0.06904 0.00863469  0.000281554
0.07257 0.00824574  0.000282339
0.0761  0.00794305  0.000277263
0.07962 0.00748988  0.000275852
0.08315 0.00734358  0.000273263
0.08667 0.00682469  0.000296827
0.09018 0.00654897  0.000269278
0.0937  0.00641786  0.000249366
0.09721 0.00608733  0.000244351
0.1007  0.00605839  0.000276043
0.1042  0.00544675  0.000234091
0.1077  0.00524526  0.000248525
0.1112  0.00512474  0.000263218
0.1147  0.00494685  0.00023522
0.1182  0.00465262  0.00024228
0.1217  0.00464421  0.000225106
0.1252  0.00415738  0.000239844
0.1287  0.00382204  0.000240474
0.1322  0.00378738  0.000239381
0.1357  0.00344998  0.000218123
0.1392  0.00333685  0.000217947
0.1426  0.00304108  0.00023602
0.1461  0.00269733  0.000236251
0.1496  0.00252469  0.000233471
0.153   0.00249531  0.000210534
0.1565  0.00213363  0.000214545
0.16    0.0022532   0.000234141
0.1634  0.00198272  0.000220568
0.1669  0.00182579  0.000213291
0.1703  0.0016969   0.000225299
0.1737  0.00134479  0.000191536
0.1772  0.00140373  0.000203892
0.1806  0.0012969   0.000199978
0.184   0.00112738  0.000197638
0.1875  0.00096219  0.000218588
0.1909  0.0010206   0.000183262
0.1943  0.000768008 0.000182569
0.1977  0.00067219  0.000202775
0.2011  0.000603199 0.000197812
0.2045  0.000541661 0.000203948
0.2079  0.000583298 0.000202379
0.2113  0.000550604 0.000214802
0.2147  0.000379017 0.000204456
0.218   0.000444785 0.000205285
0.2214  0.000203728 0.000197971
0.2248  0.000309595 0.000212669
0.2281  0.00013743  0.000213731
0.2315  0.000236471 0.000212765
0.2349  0.000197529 0.000233856
0.2382  0.000363298 0.000243189
0.2415  0.000140124 0.000235525
0.2449  0.00024705  0.000246079
0.2482  -0.000111992    0.000224694
0.2515  0.000113298 0.000265861
0.2548  9.70496e-05 0.000223068
0.2582  0.000294356 0.000236586
0.2615  0.000318636 0.000240725
0.2648  0.000130752 0.000235588
0.2681  5.0752e-05  0.000239551
0.2713  0.000260223 0.000245093
0.2746  6.13305e-05 0.00024534
0.2779  -0.000241992    0.000233657
0.2812  5.23388e-05 0.000226552
0.2844  0.000144934 0.000241935
0.2877  0.000265611 0.000250441
0.2909  -5.8719e-05 0.000229266
0.2942  0.000226041 0.000267135
0.2974  0.000138636 0.000243622
0.3006  1.33472e-05 0.000247505
0.3039  1.02231e-05 0.000234415
0.3071  -0.000375595    0.000262441
0.3103  0.000100851 0.000238973
0.3135  -0.000239826    0.000258071
0.3167  0.000142868 0.000248132
0.3199  0.000117149 0.000238982
0.3231  -0.00017824 0.000244311
0.3262  0.000129264 0.000235757
0.3294  5.55123e-05 0.00025305
0.3326  -7.66528e-05    0.000247774
0.3357  1.44545e-05 0.000223997
0.3389  6.57018e-06 0.000247757
0.342   5.28677e-05 0.000250128
0.3451  -0.000186025    0.000255463
0.3483  2.29172e-05 0.000255815
0.3514  -1.76117e-05    0.000225405
0.3545  0.000323975 0.000285227
0.3576  3.44545e-05 0.00027655
0.3607  -0.00032295 0.000311229
0.3638  -0.000444587    0.000332249
0.3669  -0.000210306    0.000338175
0.3699  0.000165033 0.000426693
0.373   -0.000366504    0.000438191
0.3761  3.03716e-05 0.000423938
0.3791  -0.000447132    0.000503499
0.3821  1.13305e-05 0.0005045
0.3852  0.000579314 0.000589475
0.3882  -7.8719e-05 0.000641605
0.3912  -0.000181942    0.00083145
0.3942  0.000154455 0.00061592
0.3972  -0.00094647 0.000891312
