# STEP		box_length		density		pressure
0 15.5547 0.544181 0.269643
10 15.5504 0.54464 0.223407
20 15.543 0.545413 0.254626
30 15.543 0.545413 0.263857
40 15.573 0.542268 0.16224
50 15.5731 0.542254 0.109024
60 15.5693 0.542654 0.13695
70 15.5693 0.542654 0.183721
80 15.5842 0.541101 0.135471
90 15.5685 0.542732 0.216325
100 15.5463 0.545067 0.29451
110 15.5412 0.545599 0.302496
120 15.5412 0.545599 0.31891
130 15.5412 0.545599 0.266208
140 15.5434 0.545368 0.353989
150 15.5434 0.545368 0.293353
160 15.5437 0.545343 0.320133
170 15.5183 0.548025 0.369167
180 15.5316 0.546614 0.189329
190 15.5316 0.546614 0.223387
200 15.543 0.545417 0.231728
210 15.5249 0.547323 0.207066
220 15.5249 0.547323 0.146483
230 15.5249 0.547323 0.255363
240 15.5249 0.547323 0.193597
250 15.5249 0.547323 0.201125
260 15.5249 0.547323 0.0938555
270 15.5249 0.547323 0.134672
280 15.5249 0.547323 0.138022
290 15.4981 0.550168 0.198062
300 15.4887 0.551164 0.25067
310 15.4887 0.551164 0.261893
320 15.4927 0.550746 0.19007
330 15.4473 0.555616 0.304441
340 15.4404 0.55636 0.157464
350 15.4492 0.555412 0.0670456
360 15.4176 0.558833 0.0966586
370 15.419 0.558682 0.104645
380 15.419 0.558682 0.106052
390 15.4506 0.555255 0.0300874
400 15.4122 0.559413 0.201302
410 15.4122 0.559413 0.149616
420 15.4122 0.559413 0.15237
430 15.4122 0.559413 0.0740554
440 15.4122 0.559413 0.0846347
450 15.3784 0.563118 0.203069
460 15.3784 0.563118 0.132813
470 15.3784 0.563118 0.122564
480 15.3152 0.570118 0.225571
490 15.3253 0.568983 0.133944
500 15.2914 0.57278 0.124381
510 15.2914 0.57278 0.150463
520 15.236 0.57905 0.240934
530 15.236 0.57905 0.107912
540 15.2082 0.58223 0.196728
550 15.2157 0.581371 0.0996531
560 15.2095 0.582086 0.181216
570 15.2095 0.582086 0.129914
580 15.1912 0.584192 0.10158
590 15.1912 0.584192 0.0321056
600 15.1723 0.58637 0.127231
610 15.1402 0.59011 0.114159
620 15.1339 0.590849 0.141153
630 15.1311 0.591181 0.160925
640 15.1311 0.591181 0.108301
650 15.0841 0.596724 0.302259
660 15.058 0.599833 0.284773
670 15.058 0.599833 0.113475
680 15.058 0.599833 0.141852
690 15.0606 0.599517 0.118565
700 14.9778 0.609522 0.160129
710 14.9652 0.611054 0.212765
720 14.9662 0.610939 0.170731
730 14.971 0.610343 0.0652969
740 14.9606 0.611623 -0.0210095
750 14.9325 0.615081 0.212956
760 14.9 0.61912 0.134292
770 14.9 0.61912 0.0684016
780 14.8368 0.627066 0.247691
790 14.837 0.627034 0.194098
800 14.8281 0.628164 0.306375
810 14.8281 0.628164 0.20714
820 14.8281 0.628164 0.209571
830 14.8281 0.628164 0.13991
840 14.8042 0.631213 0.210871
850 14.8042 0.631213 0.101115
860 14.8042 0.631213 0.00905544
870 14.8042 0.631213 0.0931195
880 14.8087 0.63064 0.0563673
890 14.8105 0.630405 0.0296819
900 14.7764 0.634777 0.0475572
910 14.7686 0.635783 0.0607888
920 14.7334 0.640351 0.137392
930 14.7282 0.641032 0.195616
940 14.7282 0.641032 0.150475
950 14.7282 0.641032 0.181964
960 14.7091 0.64353 0.147621
970 14.7014 0.644543 0.192489
980 14.7014 0.644543 0.127511
990 14.7014 0.644543 0.101797
1000 14.7014 0.644543 0.0725752
1010 14.6901 0.646036 0.153936
1020 14.6656 0.64928 0.187542
1030 14.6439 0.65217 0.238966
1040 14.6439 0.65217 0.128893
1050 14.6351 0.653344 0.106736
1060 14.6284 0.654241 0.0943929
1070 14.6356 0.653275 0.163353
1080 14.5925 0.659078 0.307686
1090 14.5849 0.66012 0.250637
1100 14.5849 0.66012 0.346927
1110 14.6448 0.652045 -0.0373595
1120 14.6203 0.655329 0.228622
1130 14.6203 0.655329 0.157932
1140 14.5785 0.660987 0.377046
1150 14.5721 0.661861 0.180635
1160 14.5824 0.660461 0.263883
1170 14.5843 0.660202 0.140899
1180 14.5685 0.662351 0.200642
1190 14.5488 0.665044 0.320374
1200 14.5488 0.665044 0.221548
1210 14.5488 0.665044 0.237376
1220 14.5381 0.666512 0.251828
1230 14.5186 0.6692 0.293161
1240 14.5186 0.6692 0.274722
1250 14.5186 0.6692 0.274626
1260 14.4807 0.674461 0.340882
1270 14.5198 0.669033 0.198843
1280 14.5248 0.668346 0.267332
1290 14.5248 0.668346 0.180231
1300 14.5256 0.668231 0.106525
1310 14.4944 0.672557 0.209465
1320 14.4944 0.672557 0.157716
1330 14.5027 0.671399 0.235769
1340 14.4823 0.674245 0.277762
1350 14.5399 0.66626 0.0572612
1360 14.5171 0.669404 0.142384
1370 14.4869 0.673604 0.187167
1380 14.4927 0.672788 0.157268
