#step  box_length  density  pressure
#0 13.4655 0.838809 -0.0362898
10 13.4655 0.838809 0.0640912
20 13.4655 0.838809 0.143475
30 13.4655 0.838809 0.200696
40 13.4655 0.838809 0.17746
50 13.4701 0.837958 0.159808
60 13.496 0.833129 0.0462729
70 13.496 0.833129 0.00289923
80 13.5128 0.83003 -0.0417882
90 13.4788 0.836334 0.132637
100 13.4926 0.833771 -0.0647909
110 13.4736 0.837301 0.112946
120 13.4969 0.832962 -0.136889
130 13.4969 0.832962 -0.078547
140 13.5077 0.830979 -0.138143
150 13.5077 0.830979 -0.0823764
160 13.5112 0.830318 -0.112523
170 13.5152 0.82959 -0.0171183
180 13.5152 0.82959 -0.045081
190 13.5152 0.82959 -0.0918417
200 13.5096 0.830627 -0.0619562
210 13.5096 0.830627 0.0153146
220 13.5096 0.830627 0.0300865
230 13.514 0.829814 -0.0849167
240 13.514 0.829814 -0.144434
250 13.4709 0.837805 0.0580508
260 13.4709 0.837805 0.129209
270 13.4717 0.837657 -0.0790057
