# step		box_length		density		pressure
0 15.4933 0.550683 0.408088
10 15.574 0.542164 0.0483258
20 15.5861 0.540903 0.110487
30 15.5796 0.541575 0.0376079
40 15.5504 0.544632 0.125228
50 15.5504 0.544632 0.0285115
60 15.5244 0.547376 0.0471043
70 15.5244 0.547376 0.12622
80 15.5244 0.547376 -0.0308863
90 15.4377 0.556648 0.233804
100 15.4377 0.556648 0.0904401
110 15.4377 0.556648 0.0110435
120 15.4007 0.560673 0.169448
130 15.4007 0.560673 0.0386636
140 15.4018 0.560554 0.0138858
150 15.3635 0.564757 0.105531
160 15.3395 0.567406 0.126963
170 15.3376 0.567622 0.016642
180 15.3376 0.567622 0.0586522
190 15.2669 0.575547 0.206068
200 15.2669 0.575547 0.108482
210 15.2402 0.578569 0.206094
220 15.2402 0.578569 0.127403
230 15.2402 0.578569 0.0864865
240 15.1875 0.584615 0.211835
250 15.2168 0.581244 -0.0308905
260 15.2168 0.581244 -0.0541153
270 15.1588 0.587938 0.0117887
280 15.1588 0.587938 -0.00652379
290 15.13 0.591304 0.0487507
300 15.13 0.591304 -0.0110206
310 15.103 0.594487 0.0752911
320 15.0951 0.595413 0.0301001
330 15.0951 0.595413 0.0106678
340 15.0951 0.595413 -0.0817625
350 14.9943 0.607509 0.156502
360 14.9943 0.607509 0.0914917
370 14.9904 0.60798 -0.0702104
380 14.9101 0.617861 0.164162
390 14.9532 0.612528 0.00511074
400 14.8751 0.622229 0.133091
410 14.8751 0.622229 0.0634497
420 14.8751 0.622229 -0.03093
430 14.8357 0.627205 0.0504485
440 14.8081 0.630719 0.0397874
450 14.8001 0.631743 0.0454502
460 14.7874 0.63336 0.0306473
470 14.7874 0.63336 0.113415
480 14.731 0.640669 0.0601549
490 14.731 0.640669 0.0203648
500 14.731 0.640669 0.0406277
510 14.6808 0.647267 0.106095
520 14.6808 0.647267 0.0585819
530 14.6416 0.652477 0.0532366
540 14.6416 0.652477 -0.00062418
550 14.634 0.653489 0.0202015
560 14.571 0.662009 0.122126
570 14.5453 0.665521 0.119001
580 14.5453 0.665521 0.0854731
590 14.5453 0.665521 -0.0515756
600 14.4979 0.672074 0.0858276
610 14.5161 0.669551 0.0330971
620 14.4881 0.673428 0.107568
630 14.4881 0.673428 0.0908147
640 14.4881 0.673428 0.104874
650 14.4957 0.672378 0.104545
660 14.5088 0.670557 -0.00322372
670 14.5088 0.670557 0.0510935
680 14.5088 0.670557 -0.0164523
690 14.5088 0.670557 -0.164955
700 14.4138 0.683897 0.236366
710 14.4138 0.683897 0.155423
720 14.4018 0.685608 0.251352
730 14.4189 0.683182 0.0791971
740 14.4189 0.683182 -0.0248736
750 14.3968 0.686334 0.0360068
760 14.3968 0.686334 0.0926951
770 14.3968 0.686334 0.0477191
780 14.3514 0.692863 0.20451
790 14.3514 0.692863 -0.0170828
800 14.3465 0.693571 -0.042448
810 14.3465 0.693571 0.0324668
820 14.3465 0.693571 0.011646
830 14.3465 0.693571 0.00693917
840 14.3465 0.693571 -0.0770479
850 14.3176 0.697775 0.0660359
860 14.3176 0.697775 0.0749716
870 14.3176 0.697775 0.0181195
880 14.2941 0.701234 0.156556
890 14.2716 0.704548 0.112507
900 14.2716 0.704548 0.101553
910 14.2716 0.704548 0.0482263
920 14.2716 0.704548 0.132429
930 14.2716 0.704548 0.172804
940 14.2716 0.704548 0.0526716
950 14.2716 0.704548 0.0383734
960 14.2258 0.711379 0.156197
970 14.2258 0.711379 0.0650018
980 14.2258 0.711379 -0.0771171
990 14.1875 0.71715 0.155553
1000 14.1875 0.71715 0.0664661
1010 14.208 0.714051 0.0227873
1020 14.1953 0.715967 0.0516762
1030 14.1953 0.715967 0.182274
1040 14.1953 0.715967 0.146475
1050 14.1873 0.717183 0.132033
1060 14.1873 0.717183 0.259422
1070 14.1846 0.717589 0.0644798
1080 14.1846 0.717589 0.0615932
1090 14.1846 0.717589 0.0726399
1100 14.1846 0.717589 0.0584753
1110 14.1626 0.720943 0.193644
1120 14.1626 0.720943 0.0869353
1130 14.1549 0.722125 0.139183
1140 14.1363 0.724969 0.0671894
1150 14.1314 0.725726 0.0659473
1160 14.15 0.722872 -0.0659197
1170 14.15 0.722872 -0.0304095
1180 14.1611 0.721173 -0.0929012
1190 14.0863 0.732717 0.184414
1200 14.0863 0.732717 0.0781361
1210 14.0863 0.732717 0.0150452
1220 14.0738 0.734671 0.0952845
1230 14.0851 0.732916 0.0491895
1240 14.0851 0.732916 0.0728159
1250 14.0557 0.73752 0.0605749
1260 14.0614 0.736626 0.110764
1270 14.0614 0.736626 0.137777
1280 14.0614 0.736626 0.01017
1290 14.0614 0.736626 0.0486784
1300 14.0614 0.736626 -0.0359534
1310 14.0255 0.742298 0.181199
1320 14.0402 0.739959 0.0432405
1330 14.0029 0.745894 0.115988
1340 14.0029 0.745894 0.154104
1350 14.0318 0.741294 -0.0871667
1360 13.9904 0.747886 0.270607
1370 13.9931 0.747455 0.163706
1380 14.0342 0.740906 -0.0573003
1390 14.0148 0.743992 0.0399583
1400 13.9724 0.750786 0.243501
1410 13.9724 0.750786 0.163493
1420 14.0046 0.74562 -0.063355
1430 14.0046 0.74562 0.0042643
1440 13.9772 0.750014 0.060993
1450 13.9772 0.750014 0.0978279
1460 13.9581 0.753099 0.165837
