# step		box_length		density		pressure
#0 15.4933 0.550683 0.408088
10 15.5808 0.541449 0.0955087
20 15.567 0.542889 0.0538609
30 15.567 0.542889 0.0653444
40 15.5118 0.548712 0.234772
50 15.5118 0.548712 0.160609
60 15.4958 0.550414 0.174691
70 15.4958 0.550414 0.0292194
80 15.4958 0.550414 0.0534002
90 15.4867 0.551378 0.0552573
100 15.4867 0.551378 0.0761088
110 15.4867 0.551378 0.0779313
120 15.4867 0.551378 0.00730959
130 15.4309 0.557382 0.064245
140 15.4362 0.556817 0.0247058
150 15.4362 0.556817 0.0171249
160 15.3546 0.565735 0.190681
170 15.3546 0.565735 0.0562958
180 15.318 0.569804 0.19868
190 15.3237 0.569169 0.0493933
200 15.2631 0.575969 0.163628
210 15.2261 0.580185 0.155004
220 15.2261 0.580185 0.2037
230 15.2261 0.580185 0.114685
240 15.2261 0.580185 0.0975952
250 15.2261 0.580185 -0.00713718
260 15.1948 0.58377 0.145777
270 15.1948 0.58377 0.0238874
280 15.1826 0.585179 0.108812
290 15.1826 0.585179 0.11727
300 15.1826 0.585179 0.0100346
310 15.1826 0.585179 0.0123261
320 15.1845 0.584966 -0.0855161
330 15.1192 0.592577 0.177289
340 15.1192 0.592577 0.0606599
350 15.0979 0.595085 0.000863165
360 15.0979 0.595085 -0.0326612
370 15.0979 0.595085 -0.130814
380 15.021 0.604278 0.061036
390 15.021 0.604278 0.0124045
400 14.9997 0.606851 -0.0376082
410 14.9997 0.606851 0.0385641
420 14.9761 0.609723 0.123457
430 14.9761 0.609723 -0.0660866
440 14.9761 0.609723 -0.0790931
450 14.9761 0.609723 -0.113332
460 14.8676 0.623175 0.353048
470 14.8905 0.620297 0.115782
480 14.8821 0.621346 0.141204
490 14.8577 0.624416 0.228557
500 14.8577 0.624416 0.0901136
510 14.8577 0.624416 0.0125606
520 14.8403 0.626617 -0.0975187
530 14.7681 0.635848 0.210574
540 14.7791 0.634435 0.158701
550 14.8035 0.631305 -0.0530661
560 14.8035 0.631305 -0.0491925
570 14.7342 0.640246 0.257815
580 14.7542 0.637656 0.0205281
590 14.7542 0.637656 -0.139735
600 14.7542 0.637656 -0.0648538
610 14.7102 0.64339 0.149219
620 14.6164 0.655862 0.289001
630 14.6164 0.655862 0.185952
640 14.6054 0.657335 0.151442
650 14.6016 0.657854 0.085639
660 14.6016 0.657854 -0.00771114
670 14.6096 0.65677 -0.0728033
680 14.6096 0.65677 -0.0508022
690 14.535 0.666938 0.243103
700 14.55 0.664881 0.101201
710 14.5114 0.670196 0.172435
720 14.5114 0.670196 0.119543
730 14.5082 0.67064 0.173074
740 14.5082 0.67064 0.0815729
750 14.4831 0.674127 0.139549
760 14.4811 0.674418 0.144562
770 14.4811 0.674418 0.0597503
780 14.4492 0.678887 0.184486
790 14.4492 0.678887 0.160024
800 14.4492 0.678887 0.121848
810 14.4492 0.678887 0.113969
820 14.4456 0.679403 0.00727558
830 14.4335 0.681103 0.114253
840 14.4334 0.681117 0.0172296
850 14.4334 0.681117 0.123989
860 14.386 0.687872 0.298662
870 14.3938 0.686758 0.204739
880 14.3938 0.686758 0.0787065
890 14.3938 0.686758 0.192386
900 14.3938 0.686758 -0.0325344
910 14.3928 0.686901 0.0544102
920 14.3631 0.691173 0.145302
930 14.3631 0.691173 0.162013
940 14.3631 0.691173 0.0512432
950 14.3631 0.691173 0.0495452
960 14.3251 0.696691 0.118786
970 14.3251 0.696691 0.0961788
980 14.3251 0.696691 0.0715635
990 14.3251 0.696691 0.182496
1000 14.2716 0.704553 0.27347
1010 14.2716 0.704553 0.138709
1020 14.2716 0.704553 0.255892
1030 14.2716 0.704553 0.144052
1040 14.2634 0.705766 0.170803
1050 14.2664 0.705326 0.106283
1060 14.2112 0.713572 0.321808
1070 14.2112 0.713572 0.0414685
1080 14.2112 0.713572 0.0384185
1090 14.1998 0.715294 0.0280141
1100 14.1998 0.715294 0.0632667
1110 14.1998 0.715294 0.04081
1120 14.189 0.716919 0.197969
1130 14.189 0.716919 0.168792
1140 14.1972 0.715691 0.00365901
1150 14.1647 0.720616 0.315627
1160 14.1991 0.715395 0.0939321
1170 14.2001 0.715247 0.0521973
1180 14.1759 0.718916 0.195037
1190 14.1759 0.718916 0.0727001
1200 14.1394 0.724494 0.34564
1210 14.1333 0.725435 0.415561
1220 14.1847 0.717572 -0.0333768
1230 14.1513 0.722674 0.0961007
1240 14.1513 0.722674 0.12801
1250 14.1463 0.723434 0.0368949
1260 14.1076 0.729404 0.220672
1270 14.1086 0.729249 0.17924
1280 14.1086 0.729249 0.215427
1290 14.1178 0.727831 0.114992
1300 14.1325 0.725563 0.0568734
1310 14.0881 0.732444 0.280643
1320 14.087 0.732608 0.111573
1330 14.087 0.732608 0.290671
1340 14.101 0.730432 0.0519708
1350 14.101 0.730432 0.155729
1360 14.101 0.730432 0.140194
1370 14.0918 0.731859 0.19724
1380 14.1087 0.729237 0.11689
1390 14.1087 0.729237 -0.0173204
1400 14.0708 0.73515 0.121966
1410 14.0708 0.73515 0.0914626
1420 14.0708 0.73515 0.0999907
1430 14.0572 0.737286 0.262239
