# STEP		box_length		density		pressure
0 15.4933 0.550683 0.408088
10 15.5808 0.541449 0.0955087
20 15.567 0.542889 0.0554224
30 15.5127 0.548619 0.132062
40 15.5127 0.548619 0.0827902
50 15.4339 0.557066 0.295973
60 15.4615 0.554078 0.221885
70 15.4503 0.55529 0.141167
80 15.3914 0.561689 0.254432
90 15.3914 0.561689 0.158449
100 15.3914 0.561689 0.156521
110 15.3914 0.561689 0.0550158
120 15.3914 0.561689 0.0750005
130 15.3749 0.563501 0.00962096
140 15.3179 0.569812 0.122137
150 15.3061 0.571127 0.106679
160 15.3016 0.571634 0.0764342
170 15.3016 0.571634 0.0356644
180 15.2606 0.576251 0.0474876
190 15.2378 0.57885 0.094945
200 15.2378 0.57885 0.034686
210 15.2162 0.581312 0.0904603
220 15.2162 0.581312 -0.0170312
230 15.1804 0.585441 0.169249
240 15.1804 0.585441 0.0137039
250 15.1642 0.58732 0.0822485
260 15.1642 0.58732 0.0319605
270 15.1514 0.588807 -0.029171
280 15.1539 0.58852 -0.0266771
290 15.1539 0.58852 -0.136746
300 15.0705 0.598333 0.105821
310 15.0537 0.600345 -0.0103841
320 15.0537 0.600345 -0.00336942
330 14.9487 0.613079 0.205175
340 14.9223 0.616341 0.149553
350 14.9223 0.616341 0.228803
360 14.9366 0.614579 -0.0349925
370 14.9366 0.614579 0.00320658
380 14.8767 0.62203 0.123749
390 14.8767 0.62203 0.126392
400 14.8767 0.62203 -0.00288126
410 14.8618 0.623898 0.140358
420 14.8618 0.623898 0.0160821
430 14.8278 0.628205 0.0910762
440 14.8278 0.628205 0.0121096
450 14.7721 0.635337 0.0713967
460 14.7721 0.635337 0.020319
470 14.718 0.642364 0.0585486
480 14.7021 0.644456 0.116963
490 14.6826 0.647019 0.117867
500 14.6389 0.652831 0.143037
510 14.6254 0.65464 0.144738
520 14.6065 0.657196 0.269685
530 14.6065 0.657196 0.188282
540 14.6065 0.657196 0.0715843
550 14.5422 0.665954 0.226405
560 14.5422 0.665954 0.0498308
570 14.5276 0.66795 0.107312
580 14.5139 0.669847 0.182872
590 14.5139 0.669847 0.072128
600 14.5117 0.670161 0.0474677
610 14.5065 0.670879 0.0363105
620 14.4981 0.672047 0.0398642
630 14.4621 0.677074 0.132522
640 14.4467 0.679248 0.0988689
650 14.4467 0.679248 0.155953
660 14.4467 0.679248 0.051998
670 14.4467 0.679248 0.055443
680 14.4387 0.680365 0.173205
690 14.4387 0.680365 0.0390884
700 14.3959 0.68645 0.150536
710 14.3959 0.68645 0.0359356
720 14.3959 0.68645 0.0235287
730 14.3959 0.68645 0.0160814
740 14.3959 0.68645 0.0227196
750 14.3959 0.68645 0.0901773
760 14.3757 0.689351 0.094854
770 14.3757 0.689351 -0.00792652
780 14.3757 0.689351 0.0366687
790 14.3651 0.690882 0.0274547
800 14.3654 0.690845 -0.0183508
810 14.3654 0.690845 -0.00537029
820 14.3546 0.692394 0.0300715
830 14.3546 0.692394 0.0880963
840 14.3546 0.692394 0.014245
850 14.308 0.699194 0.284627
860 14.308 0.699194 0.201528
870 14.308 0.699194 0.201685
880 14.308 0.699194 0.0622787
890 14.308 0.699194 0.00687537
900 14.3046 0.699683 -0.00729263
910 14.3046 0.699683 -0.0270118
920 14.3046 0.699683 0.10181
930 14.2701 0.704777 0.158327
940 14.2639 0.705692 0.154246
950 14.2639 0.705692 0.09826
960 14.2432 0.708766 0.102998
970 14.2432 0.708766 0.0687051
980 14.2432 0.708766 -0.0680427
990 14.2125 0.713378 0.191907
1000 14.1492 0.722986 0.397626
1010 14.1626 0.720947 0.196661
1020 14.1704 0.719757 0.0985724
1030 14.156 0.721958 0.188419
1040 14.156 0.721958 0.225161
1050 14.156 0.721958 0.143118
1060 14.156 0.721958 0.137389
1070 14.156 0.721958 0.138757
1080 14.155 0.722102 0.209594
1090 14.1868 0.717266 0.113447
1100 14.1868 0.717266 0.215612
1110 14.1929 0.716339 0.040207
1120 14.1856 0.717445 0.10446
1130 14.1449 0.723646 0.206342
1140 14.1304 0.725887 0.24172
1150 14.1159 0.72812 0.330772
1160 14.1159 0.72812 0.142741
1170 14.1159 0.72812 0.0771042
1180 14.0954 0.731301 0.248134
1190 14.1467 0.723374 0.0110233
1200 14.0915 0.731914 0.243843
1210 14.113 0.728578 0.072592
1220 14.113 0.728578 0.0987758
1230 14.0945 0.731445 0.0379522
1240 14.0572 0.737284 0.277523
1250 14.0572 0.737284 0.217389
1260 14.0458 0.739082 0.277048
1270 14.0458 0.739082 0.180493
1280 14.051 0.738255 0.281596
1290 14.08 0.733712 -0.0375913
1300 14.0297 0.741627 0.290116
1310 14.0297 0.741627 0.243379
1320 14.0297 0.741627 0.0812985
1330 14.0297 0.741627 0.093158
1340 14.0297 0.741627 0.0571919
1350 14.0064 0.745327 0.254208
1360 14.0328 0.74114 0.0306464
1370 14.023 0.742692 0.117436
1380 13.9771 0.750024 0.32074
1390 13.9771 0.750024 0.275023
1400 13.9771 0.750024 0.229102
1410 13.9771 0.750024 0.124246
1420 13.9771 0.750024 0.201934
1430 13.9771 0.750024 0.174221
1440 13.9904 0.747898 0.0558382
1450 13.9904 0.747898 0.14448
1460 14.0208 0.743032 -0.0265099
1470 13.9779 0.749906 0.227272
1480 13.9541 0.753752 0.260533
1490 13.9818 0.74928 0.0579594
1500 13.9818 0.74928 0.0709431
1510 13.9818 0.74928 0.336331
1520 13.9818 0.74928 -0.0418516
1530 13.974 0.75053 0.00547481
1540 13.9354 0.756778 0.245227
1550 13.9354 0.756778 0.35217
1560 13.9471 0.754874 0.0303
1570 13.8937 0.763612 0.343261
1580 13.8937 0.763612 0.269963
1590 13.8937 0.763612 0.17848
1600 13.8973 0.763022 0.206362
1610 13.8973 0.763022 0.153419
1620 13.8973 0.763022 0.0801133
1630 13.8944 0.763496 0.158271
1640 13.8944 0.763496 0.18035
1650 13.8944 0.763496 0.222914
1660 13.8985 0.762832 0.0019722
1670 13.8985 0.762832 0.138185
1680 13.8663 0.76816 0.310076
1690 13.8602 0.769163 0.228707
1700 13.8602 0.769163 0.169652
1710 13.8802 0.765848 0.116143
1720 13.8802 0.765848 0.109279
1730 13.8543 0.77015 0.160587
1740 13.8543 0.77015 0.155552
1750 13.8877 0.764614 0.0134368
1760 13.8331 0.773696 0.218872
1770 13.8331 0.773696 0.114861
1780 13.8331 0.773696 0.142955
1790 13.8331 0.773696 0.170268
1800 13.8331 0.773696 0.161464
1810 13.7975 0.779704 0.320961
1820 13.7975 0.779704 0.0948195
1830 13.7975 0.779704 0.212541
1840 13.7975 0.779704 0.165119
1850 13.7975 0.779704 -0.00535458
1860 13.7975 0.779704 0.0523981
1870 13.7899 0.780998 0.0427771
1880 13.7806 0.782573 0.141198
1890 13.7806 0.782573 0.200943
1900 13.7937 0.780348 0.0652267
1910 13.7937 0.780348 0.0731614
1920 13.7937 0.780348 0.100482
1930 13.7996 0.779349 0.0368165
1940 13.7905 0.78089 0.118169
1950 13.7905 0.78089 0.10917
1960 13.7905 0.78089 0.0813578
1970 13.7823 0.782286 0.113383
1980 13.7702 0.784349 0.0817496
1990 13.7721 0.784016 0.129973
2000 13.7721 0.784016 0.0437992
2010 13.7594 0.786204 0.298833
2020 13.7708 0.784253 0.0251458
2030 13.7697 0.784439 0.11048
2040 13.7954 0.780051 -0.0380356
2050 13.7954 0.780051 -0.0569772
2060 13.7954 0.780051 -0.0802662
2070 13.7474 0.788253 0.159067
2080 13.7781 0.782994 0.0166272
2090 13.7781 0.782994 0.0632868
2100 13.7366 0.790122 0.222914
2110 13.7407 0.789407 0.100179
2120 13.7287 0.791482 0.159098
2130 13.7246 0.792187 0.215303
2140 13.7246 0.792187 0.278193
2150 13.7246 0.792187 0.156115
2160 13.7286 0.791506 0.23324
2170 13.7286 0.791506 0.0712001
2180 13.7286 0.791506 0.0792935
2190 13.7286 0.791506 0.111223
2200 13.7286 0.791506 0.160276
2210 13.7286 0.791506 0.197572
2220 13.7286 0.791506 -0.0336062
2230 13.7125 0.794298 0.224497
2240 13.7125 0.794298 0.0668881
2250 13.7125 0.794298 0.105513
2260 13.7129 0.794221 0.167244
2270 13.7285 0.791526 0.151929
2280 13.7395 0.789626 -0.0232052
2290 13.7096 0.79479 0.11452
2300 13.7096 0.79479 0.191114
2310 13.7096 0.79479 0.199421
2320 13.7332 0.790704 0.0340848
2330 13.7067 0.795301 0.119205
2340 13.7067 0.795301 0.023528
2350 13.6658 0.802465 0.339986
2360 13.6658 0.802465 0.219613
2370 13.6981 0.796806 0.184358
2380 13.6764 0.800594 0.260097
2390 13.6732 0.801154 0.30067
2400 13.6764 0.800597 0.214852
2410 13.6764 0.800597 0.207548
2420 13.6912 0.798004 0.121789
2430 13.678 0.800322 0.337395
2440 13.7177 0.793382 -0.0753019
2450 13.7177 0.793382 0.0258592
2460 13.7177 0.793382 0.0157976
2470 13.7177 0.793382 -0.0134385
2480 13.6827 0.79949 0.126646
2490 13.6827 0.79949 0.13408
2500 13.7012 0.796257 0.0971652
2510 13.6801 0.799949 0.194448
2520 13.6801 0.799949 0.116163
2530 13.6716 0.801438 0.103933
2540 13.6579 0.803857 0.191401
2550 13.6579 0.803857 0.148478
2560 13.6349 0.807925 0.244805
2570 13.6449 0.806158 0.0953826
2580 13.62 0.810588 0.374783
2590 13.6421 0.806656 0.230225
2600 13.6589 0.803682 0.0753919
2610 13.6449 0.806152 0.119058
2620 13.6344 0.808011 0.262042
2630 13.6441 0.806296 0.154099
2640 13.6441 0.806296 0.112386
2650 13.6502 0.805213 0.272222
2660 13.6536 0.80461 0.220803
2670 13.6556 0.804268 0.206613
2680 13.6556 0.804268 0.0969998
2690 13.6719 0.801385 0.0997733
2700 13.6719 0.801385 0.0873786
2710 13.6271 0.809311 0.369162
2720 13.6271 0.809311 0.297528
2730 13.6336 0.808158 0.154849
2740 13.6336 0.808158 0.131425
2750 13.6336 0.808158 0.221963
2760 13.646 0.805957 0.0534429
2770 13.646 0.805957 0.0730781
2780 13.629 0.808988 0.0651255
2790 13.6156 0.811373 0.265106
2800 13.6156 0.811373 0.157321
2810 13.6156 0.811373 0.187945
2820 13.6156 0.811373 0.101193
2830 13.6355 0.807827 0.103959
2840 13.6355 0.807827 0.106045
2850 13.6288 0.809017 0.0702956
2860 13.6284 0.80909 0.236841
2870 13.6284 0.80909 0.17733
2880 13.6162 0.811268 0.124026
2890 13.6065 0.813004 0.135803
2900 13.6065 0.813004 0.257552
2910 13.6065 0.813004 0.119149
2920 13.6065 0.813004 0.129563
2930 13.6147 0.81154 0.0294199
2940 13.6077 0.81279 0.0926296
2950 13.6077 0.81279 0.194563
2960 13.611 0.812196 0.0577264
2970 13.6004 0.814094 0.0139507
2980 13.6004 0.814094 0.057411
2990 13.6072 0.812873 -0.097616
3000 13.5811 0.817579 0.102115
3010 13.5811 0.817579 0.130264
3020 13.5811 0.817579 0.130052
3030 13.5705 0.819496 0.0701182
3040 13.5705 0.819496 0.129252
3050 13.5705 0.819496 0.136699
3060 13.5705 0.819496 0.221746
3070 13.5705 0.819496 0.114694
3080 13.5464 0.823877 0.24493
3090 13.5464 0.823877 0.246852
3100 13.5464 0.823877 0.208926
3110 13.5464 0.823877 0.103799
3120 13.5638 0.820699 0.089796
3130 13.5638 0.820699 0.0395824
3140 13.5638 0.820699 -0.048062
3150 13.5315 0.826594 0.143779
3160 13.5315 0.826594 0.0745378
3170 13.5315 0.826594 0.0298411
3180 13.5324 0.826435 0.0425325
3190 13.5324 0.826435 0.119916
3200 13.5171 0.829242 0.214574
3210 13.5171 0.829242 0.201034
3220 13.5171 0.829242 0.17971
3230 13.5299 0.82688 0.101826
3240 13.5299 0.82688 0.116265
3250 13.5299 0.82688 0.146015
3260 13.5363 0.825716 0.0740129
3270 13.5363 0.825716 0.0638483
3280 13.5191 0.828868 0.208468
3290 13.5327 0.826381 0.0538767
3300 13.5327 0.826381 0.161477
3310 13.5327 0.826381 0.14133
3320 13.5327 0.826381 0.0755494
3330 13.5151 0.829598 0.227262
3340 13.5151 0.829598 0.265564
3350 13.5151 0.829598 0.251755
3360 13.5246 0.827859 0.0798405
3370 13.5246 0.827859 0.186857
3380 13.5015 0.832118 0.393697
3390 13.4974 0.832879 0.316968
3400 13.4974 0.832879 0.12599
3410 13.4974 0.832879 0.129342
3420 13.5146 0.829705 0.100183
3430 13.513 0.830002 0.112594
3440 13.513 0.830002 0.0771295
3450 13.513 0.830002 0.0960698
3460 13.5144 0.829743 0.140538
3470 13.5432 0.824455 0.159755
3480 13.5432 0.824455 -0.0379537
3490 13.5134 0.829917 0.158099
3500 13.5134 0.829917 0.135073
3510 13.5146 0.829707 0.0890123
3520 13.5101 0.830519 0.14127
3530 13.5101 0.830519 0.180116
3540 13.5101 0.830519 0.169509
3550 13.5101 0.830519 0.104503
3560 13.5101 0.830519 0.00341922
3570 13.4819 0.835751 0.240085
3580 13.4655 0.838799 0.196588
3590 13.4535 0.841048 0.245354
3600 13.4685 0.838248 0.243047
3610 13.4685 0.838248 0.220269
3620 13.4725 0.837498 0.218442
3630 13.4725 0.837498 0.114419
3640 13.4538 0.840994 0.282089
3650 13.4538 0.840994 0.168418
3660 13.4618 0.839509 0.136679
3670 13.4618 0.839509 0.18816
3680 13.4397 0.843639 0.322437
3690 13.4397 0.843639 0.331195
3700 13.4458 0.842499 0.150227
3710 13.4458 0.842499 0.120237
3720 13.4334 0.844845 0.232644
3730 13.4426 0.843108 0.157915
3740 13.448 0.842081 0.0403069
3750 13.448 0.842081 0.153858
3760 13.4668 0.83857 0.112456
3770 13.4622 0.839425 0.0959388
3780 13.4558 0.840627 0.168475
3790 13.4234 0.846728 0.224944
3800 13.4061 0.850008 0.388577
3810 13.4061 0.850008 0.357265
3820 13.4061 0.850008 0.293452
3830 13.4384 0.843891 0.0797111
3840 13.4505 0.841623 0.00940925
3850 13.4593 0.839958 0.0457069
3860 13.4503 0.841656 0.124263
3870 13.4503 0.841656 0.273586
3880 13.4503 0.841656 0.172759
3890 13.4503 0.841656 0.152196
