#step  box_length  density  pressure
#0 15.4933 0.550683 0.408088
10 15.5542 0.544234 0.0696003
20 15.5542 0.544234 0.0227451
30 15.5542 0.544234 0.03123
40 15.4686 0.553324 0.253419
50 15.4164 0.558961 0.153381
60 15.4105 0.559606 0.210605
70 15.3633 0.564774 0.273766
80 15.3766 0.563309 0.179871
90 15.3766 0.563309 0.166928
100 15.3394 0.56742 0.194634
110 15.3394 0.56742 0.0579754
120 15.2617 0.576127 0.310726
130 15.267 0.575536 0.122395
140 15.2303 0.579698 0.113369
150 15.2215 0.580707 0.0219268
160 15.1381 0.590362 0.30641
170 15.109 0.593778 0.247401
180 15.109 0.593778 0.131869
190 15.109 0.593778 0.133848
200 15.109 0.593778 0.0666257
210 15.0483 0.600992 0.0579725
220 15.0483 0.600992 0.0866002
230 14.9653 0.611045 0.313035
240 14.9653 0.611045 0.183125
250 14.9653 0.611045 0.0732565
260 14.9247 0.616041 0.121461
270 14.8867 0.620773 0.181928
280 14.8867 0.620773 0.186883
290 14.8826 0.621289 0.168311
300 14.8826 0.621289 0.0619673
310 14.8826 0.621289 0.0792614
320 14.8623 0.623842 0.15658
330 14.8623 0.623842 0.0976985
340 14.7936 0.632569 0.115967
350 14.7861 0.633533 0.182514
360 14.7599 0.636908 0.0702358
370 14.7426 0.639155 0.0529311
380 14.6858 0.646602 0.239296
390 14.6858 0.646602 0.196509
400 14.6846 0.646756 0.102029
410 14.6822 0.64708 0.00675666
420 14.6788 0.647531 0.12973
430 14.6406 0.652615 0.236918
440 14.6346 0.653417 0.1182
450 14.6235 0.654904 0.0619937
460 14.558 0.663785 0.285496
470 14.547 0.665285 0.178341
480 14.547 0.665285 0.185213
490 14.547 0.665285 0.0634738
500 14.488 0.673454 0.176818
510 14.488 0.673454 0.198919
520 14.4844 0.673952 0.201003
530 14.4632 0.676918 0.179897
540 14.4519 0.678508 0.210978
550 14.4473 0.67916 0.0553749
560 14.384 0.688158 0.244971
570 14.384 0.688158 0.273882
580 14.4357 0.680789 -0.0434901
590 14.4357 0.680789 0.0766148
600 14.4357 0.680789 0.122696
610 14.4323 0.681278 0.0267742
620 14.4323 0.681278 0.0119684
630 14.4323 0.681278 0.03281
640 14.4064 0.684953 0.155608
650 14.3598 0.691647 0.158602
660 14.3483 0.693309 0.144529
670 14.3292 0.696093 0.177181
680 14.3292 0.696093 0.179126
690 14.3214 0.69722 0.321393
700 14.3214 0.69722 0.33492
710 14.3447 0.693833 0.0905252
720 14.3454 0.693731 0.0982803
730 14.3331 0.695517 0.180722
740 14.3331 0.695517 0.164156
750 14.3331 0.695517 0.17077
760 14.3331 0.695517 0.191622
770 14.2874 0.702208 0.361659
780 14.3325 0.695602 0.0191974
790 14.3325 0.695602 0.0182316
800 14.3325 0.695602 0.155169
810 14.2928 0.701424 0.287287
820 14.3074 0.699268 0.12393
830 14.2406 0.709167 0.178243
840 14.2406 0.709167 0.152873
850 14.2167 0.712737 0.235115
860 14.1694 0.719901 0.454937
870 14.2103 0.713715 0.250072
880 14.2046 0.714572 0.245929
890 14.2046 0.714572 0.154894
900 14.2046 0.714572 0.197024
910 14.2046 0.714572 0.0587215
920 14.1675 0.720195 0.203094
930 14.1308 0.725829 0.329367
940 14.1308 0.725829 0.329303
950 14.1308 0.725829 0.327279
960 14.1308 0.725829 0.233323
970 14.1684 0.720059 0.232383
980 14.1684 0.720059 0.119064
990 14.1559 0.721966 0.210171
1000 14.1559 0.721966 0.0992385
1010 14.1559 0.721966 0.0206811
1020 14.1379 0.724727 0.0281638
1030 14.1379 0.724727 0.0654944
1040 14.0963 0.731156 0.348702
1050 14.0963 0.731156 0.312437
1060 14.0974 0.730992 0.11262
1070 14.108 0.729344 0.154936
1080 14.108 0.729344 0.188452
1090 14.0993 0.73069 0.212919
1100 14.0727 0.734842 0.195957
1110 14.0549 0.737651 0.303989
1120 14.0549 0.737651 0.190714
1130 14.0428 0.739552 0.220166
1140 14.0452 0.739174 0.183246
1150 14.0452 0.739174 0.237489
1160 14.0353 0.740732 0.196639
1170 14.0353 0.740732 0.239456
1180 14.0227 0.742733 0.148862
1190 13.9999 0.746379 0.258662
1200 13.9953 0.747115 0.274772
1210 13.9953 0.747115 0.309997
1220 13.9956 0.747056 0.21149
1230 13.9956 0.747056 0.133395
1240 13.9875 0.748358 0.0766753
1250 13.9787 0.749775 0.142967
1260 13.9787 0.749775 0.026643
1270 13.9568 0.753309 0.281775
1280 13.9599 0.752813 0.24481
1290 13.9641 0.752132 0.171847
1300 13.9426 0.755606 0.251778
1310 13.9426 0.755606 0.288742
1320 13.9426 0.755606 0.247114
1330 13.9426 0.755606 0.226402
1340 13.9426 0.755606 0.218337
1350 13.9533 0.753872 0.0767182
1360 13.9262 0.758282 0.26667
1370 13.9262 0.758282 0.165667
1380 13.8933 0.763679 0.309993
1390 13.9219 0.758984 0.147041
1400 13.913 0.760436 0.227809
1410 13.8711 0.767356 0.302545
1420 13.8636 0.768601 0.19468
1430 13.8636 0.768601 0.219389
1440 13.8636 0.768601 0.181514
1450 13.8636 0.768601 0.220704
1460 13.8636 0.768601 0.0973864
1470 13.8636 0.768601 0.0845795
1480 13.8381 0.772859 0.227051
1490 13.8349 0.773402 0.299155
1500 13.8266 0.774784 0.202136
1510 13.8266 0.774784 0.291066
1520 13.8266 0.774784 0.176305
1530 13.7994 0.779383 0.486331
1540 13.7994 0.779383 0.337521
1550 13.8001 0.779268 0.214306
1560 13.7901 0.780961 0.275835
1570 13.7901 0.780961 0.290383
1580 13.7901 0.780961 0.307912
1590 13.7901 0.780961 0.359839
1600 13.7901 0.780961 0.158115
1610 13.7794 0.782779 0.259067
1620 13.7878 0.781348 0.146095
1630 13.7839 0.782009 0.287494
1640 13.8053 0.77838 0.137529
1650 13.776 0.783358 0.310376
1660 13.8042 0.778569 0.0914396
1670 13.8042 0.778569 0.0438735
1680 13.789 0.781146 0.149125
1690 13.789 0.781146 0.234036
1700 13.789 0.781146 0.0419747
1710 13.789 0.781146 0.125891
1720 13.8134 0.777004 0.0593629
1730 13.7704 0.784316 0.161662
1740 13.7752 0.783497 0.102659
1750 13.7239 0.792315 0.333187
