#step  box_length  density  pressure
0 15.4933 0.550683 0.408088
10 15.5098 0.548919 0.194379
20 15.5098 0.548919 0.169783
30 15.5098 0.548919 0.0631271
40 15.3994 0.560818 0.293896
50 15.3767 0.563304 0.296819
60 15.3767 0.563304 0.115407
70 15.3767 0.563304 0.130863
80 15.3265 0.568859 0.0963692
90 15.2862 0.573369 0.0842351
100 15.2862 0.573369 0.0680715
110 15.2313 0.579592 0.304644
120 15.2148 0.58148 0.184087
130 15.1547 0.588418 0.217437
140 15.1436 0.58972 0.187335
150 15.1335 0.5909 0.222393
160 15.1401 0.59013 0.212329
170 15.1401 0.59013 0.0937323
180 15.0608 0.5995 0.302074
190 15.0361 0.602452 0.227467
200 15.0361 0.602452 0.200353
210 15.0266 0.6036 0.278192
220 14.9953 0.60739 0.317675
230 14.9495 0.612981 0.294687
240 14.9495 0.612981 0.103113
250 14.9367 0.614565 0.150109
260 14.8798 0.621639 0.342135
270 14.8798 0.621639 0.229283
280 14.883 0.621238 0.165675
290 14.883 0.621238 0.0620926
300 14.8166 0.629626 0.255255
310 14.7779 0.634588 0.390197
320 14.7155 0.642696 0.42786
330 14.678 0.647629 0.511109
340 14.6537 0.650867 0.469402
350 14.6537 0.650867 0.366052
360 14.623 0.65497 0.318977
370 14.6433 0.652251 0.110364
380 14.608 0.656982 0.190701
390 14.608 0.656982 0.202249
400 14.608 0.656982 0.00890255
410 14.563 0.663095 0.183716
420 14.5199 0.66902 0.374503
430 14.5199 0.66902 0.261373
440 14.5199 0.66902 0.201452
450 14.5037 0.671264 0.327252
460 14.5037 0.671264 0.169914
470 14.5037 0.671264 0.111317
480 14.4594 0.677455 0.293936
490 14.4594 0.677455 0.216547
500 14.4594 0.677455 0.252965
510 14.4594 0.677455 0.0859269
520 14.4474 0.679148 0.0324924
530 14.395 0.686583 0.209728
540 14.395 0.686583 0.176291
550 14.395 0.686583 0.172589
560 14.3589 0.691775 0.319767
