#step  box_length  density  pressure
#0 15.7487 0.524318 -0.555019
10 15.8298 0.516301 -0.379596
20 15.9575 0.504005 -0.644406
30 15.9746 0.502386 -0.330586
40 16.0874 0.491899 -0.483568
50 16.1547 0.485771 -0.546286
60 16.2092 0.480887 -0.463376
70 16.216 0.480284 -0.336248
80 16.4231 0.46234 -0.50208
90 16.5107 0.455025 -0.508442
100 16.5213 0.454148 -0.459351
110 16.5472 0.452021 -0.437497
120 16.6756 0.44166 -0.512616
130 16.7638 0.43472 -0.467207
140 16.7638 0.43472 -0.46473
150 16.7508 0.435735 -0.398536
160 16.9223 0.42262 -0.646601
170 16.9941 0.417287 -0.500023
180 17.1099 0.40887 -0.525749
190 17.2491 0.399052 -0.484525
200 17.2585 0.398402 -0.398857
210 17.4657 0.384389 -0.476534
220 17.4932 0.382579 -0.437822
230 17.7463 0.366445 -0.481454
240 18.0897 0.34597 -0.484771
250 18.2945 0.334476 -0.360226
260 19.0863 0.294553 -0.470364
270 20.1376 0.250788 -0.375095
280 20.7878 0.227985 -0.233523
290 21.8874 0.19532 -0.219384
300 22.5083 0.179598 -0.187946
310 23.5718 0.15637 -0.132442
320 23.9912 0.148312 -0.102652
330 24.4524 0.140077 -0.058894
340 25.7331 0.120187 -0.0513975
350 26.2667 0.113009 -0.0310552
360 27.9025 0.0942758 -0.0397269
370 28.5495 0.0880101 -0.0187522
380 29.8413 0.0770686 -0.00177418
390 30.9918 0.0688005 0.00134099
400 32.2742 0.0609205 -0.000227224
410 32.6843 0.0586559 0.00354569
420 33.5292 0.0543325 0.0021158
430 34.3568 0.0504998 0.00727454
440 35.116 0.0472948 0.00607893
450 35.8079 0.0446058 0.00684438
460 36.7307 0.0413279 0.00507214
470 37.3809 0.0392086 0.011087
480 38.7338 0.035242 0.00674778
490 39.9399 0.0321446 0.0101675
500 40.6712 0.0304417 0.0119676
510 41.375 0.0289146 0.0116373
520 41.6681 0.0283086 0.0105715
530 42.3606 0.0269428 0.0106
540 43.1452 0.0254996 0.00837671
550 43.7158 0.024514 0.00996637
560 45.0407 0.0224138 0.00858446
570 46.1623 0.0208193 0.0081245
580 46.93 0.0198142 0.0085816
590 47.3739 0.0192625 0.00854413
600 48.3008 0.0181747 0.00790141
610 48.9456 0.0174658 0.00883705
620 50.0534 0.0163316 0.00771934
630 50.4678 0.0159326 0.00836239
640 50.8523 0.0155739 0.00776824
650 52.1805 0.0144147 0.00609566
660 52.7958 0.0139165 0.00706018
670 53.637 0.013272 0.00699802
680 54.8777 0.012392 0.00616227
690 55.3845 0.0120549 0.0060768
700 56.8793 0.0111293 0.00550542
710 58.8446 0.010051 0.00548436
720 59.5106 0.00971734 0.00515035
730 60.6857 0.0091637 0.00490353
740 61.3504 0.00886905 0.00481963
750 62.1649 0.008525 0.00494669
760 62.6677 0.00832144 0.00447848
770 63.685 0.007929 0.0044549
780 64.5102 0.00762859 0.00445875
790 65.5925 0.00725718 0.0041533
800 66.824 0.0068633 0.00419277
810 68.0192 0.00650782 0.00384923
820 68.2244 0.00644926 0.00393648
830 69.1684 0.00618881 0.00366749
840 69.6045 0.0060732 0.00357012
850 70.7767 0.00577642 0.00349825
860 71.7441 0.00554589 0.00341789
870 72.2947 0.00542014 0.00325762
880 73.3044 0.00519923 0.00313682
890 73.8615 0.00508249 0.00311745
900 74.7981 0.00489394 0.00302377
910 75.9651 0.00467184 0.00278998
920 76.2682 0.00461637 0.00286729
930 76.9489 0.00449493 0.00285142
940 77.2603 0.00444079 0.00281065
950 77.9951 0.00431647 0.00287589
960 78.8483 0.00417786 0.00254456
970 79.725 0.00404154 0.00261804
980 80.613 0.00390944 0.00256012
990 81.5115 0.00378158 0.00239656
1000 82.4185 0.0036581 0.00239879
1010 83.1657 0.00356039 0.00229838
1020 84.2904 0.00341976 0.00217338
1030 84.7943 0.00335916 0.00214037
1040 85.4541 0.00328195 0.00220473
1050 86.7363 0.00313853 0.00202686
1060 87.892 0.00301635 0.00203271
1070 88.5934 0.00294527 0.00192895
1080 89.1912 0.00288645 0.00188574
1090 89.7599 0.00283194 0.00183328
1100 91.2111 0.0026989 0.00180954
1110 92.511 0.00258672 0.00167028
1120 93.2633 0.00252463 0.00165957
1130 93.711 0.00248861 0.00172425
1140 94.7658 0.00240644 0.00158634
1150 95.6231 0.00234229 0.00153949
1160 96.9071 0.00225042 0.00152756
1170 97.8608 0.00218526 0.00148032
1180 98.7288 0.00212813 0.00139743
1190 99.8746 0.00205572 0.00138157
1200 100.237 0.00203351 0.00136063
1210 100.789 0.00200029 0.00132994
1220 101.525 0.00195711 0.00128777
1230 102.828 0.00188366 0.00124562
1240 104.352 0.00180229 0.00121178
1250 105.125 0.00176282 0.00119544
1260 106.23 0.00170841 0.0011523
1270 106.581 0.00169158 0.00112816
