#step  box_length  density  pressure
0 15.4933 0.550683 1.82099
10 15.3218 0.56938 3.65881
20 15.2649 0.575772 3.48845
30 15.2649 0.575772 3.25825
40 15.2649 0.575772 3.07626
50 15.2253 0.580275 3.24293
60 15.2044 0.582673 3.10941
70 15.0667 0.598797 3.36546
80 15.003 0.606448 3.54412
90 14.9575 0.612006 3.52345
100 14.9269 0.615774 3.25183
110 14.9269 0.615774 3.46908
120 14.8865 0.620798 3.17521
130 14.8126 0.630143 3.20374
140 14.8126 0.630143 3.06727
150 14.7191 0.642221 3.35464
160 14.7191 0.642221 3.19396
170 14.7191 0.642221 3.12762
180 14.6137 0.656217 3.56344
190 14.6137 0.656217 3.62749
200 14.5361 0.666791 3.67437
210 14.5361 0.666791 3.46794
220 14.5361 0.666791 3.32566
230 14.5173 0.669373 3.44065
240 14.5173 0.669373 3.23278
250 14.5173 0.669373 3.30133
260 14.4778 0.674878 3.36232
270 14.4778 0.674878 3.31499
280 14.4571 0.677774 3.46279
290 14.4179 0.683318 3.42826
300 14.4053 0.68511 3.57295
310 14.4053 0.68511 3.33135
320 14.3842 0.688132 3.3271
330 14.3842 0.688132 3.24539
340 14.3842 0.688132 3.10203
350 14.3842 0.688132 3.1274
360 14.3493 0.693174 3.48125
370 14.3493 0.693174 3.41443
380 14.3493 0.693174 3.34955
390 14.3493 0.693174 3.31429
400 14.2799 0.703315 3.70198
410 14.2799 0.703315 3.53196
420 14.2799 0.703315 3.61155
430 14.2799 0.703315 3.37014
440 14.2517 0.707509 3.46937
450 14.262 0.705978 3.71508
460 14.3171 0.69786 3.35053
470 14.3171 0.69786 3.50155
480 14.3171 0.69786 3.46998
490 14.2511 0.707598 3.6894
500 14.2458 0.708383 3.41371
510 14.1814 0.718083 3.7607
520 14.2071 0.714186 3.51965
530 14.2071 0.714186 3.85818
540 14.2199 0.712259 3.5229
550 14.2015 0.715037 3.67989
560 14.1976 0.715629 3.70917
570 14.2417 0.708999 3.18163
