#step  box_length  density  pressure
#0 15.4933 0.550683 1.82099
10 15.184 0.585024 4.29696
20 15.0986 0.595009 4.40009
30 15.0338 0.602732 4.25702
40 15.0359 0.60248 4.01623
50 14.8851 0.62098 4.52207
60 14.8851 0.62098 3.88514
70 14.6811 0.647219 4.67246
80 14.6811 0.647219 4.09304
90 14.6287 0.654199 4.397
100 14.5723 0.661831 4.2303
110 14.5409 0.666125 4.3039
120 14.4631 0.676938 4.30917
130 14.3844 0.688109 4.54865
140 14.3886 0.687509 4.38929
150 14.3975 0.686224 4.04965
160 14.2811 0.70315 4.66827
170 14.2849 0.702581 4.47069
180 14.2849 0.702581 4.1548
190 14.2292 0.710865 4.34923
200 14.2219 0.711968 4.66392
210 14.1989 0.715424 4.28366
220 14.167 0.720265 4.52963
230 14.1346 0.725241 4.47666
240 14.1346 0.725241 4.45822
250 14.1346 0.725241 4.3593
260 14.1135 0.728486 4.28245
270 14.0892 0.732271 4.42146
280 14.0892 0.732271 4.50734
290 14.0892 0.732271 4.17305
300 14.0892 0.732271 4.03165
310 14.0109 0.744622 4.50184
320 14.0635 0.736294 4.21432
330 14.0635 0.736294 4.39719
340 14.0438 0.739397 4.33603
350 14.0264 0.742142 4.07026
360 14.0012 0.746168 4.25689
370 14.0012 0.746168 4.40079
380 14.0012 0.746168 4.36096
390 14.002 0.746035 4.49435
400 13.9853 0.748709 4.57535
410 13.9853 0.748709 4.43445
420 13.9853 0.748709 4.35323
430 13.9581 0.753105 4.36486
440 13.9581 0.753105 4.25919
450 13.9581 0.753105 4.12665
460 13.9031 0.762073 4.90225
470 13.894 0.763567 4.47107
480 13.8937 0.763617 4.43407
490 13.8937 0.763617 4.62276
500 13.8937 0.763617 4.40999
510 13.8937 0.763617 4.54416
520 13.8937 0.763617 4.49934
530 13.8618 0.768902 4.35821
540 13.866 0.7682 4.51806
550 13.8656 0.768271 4.40901
560 13.8656 0.768271 4.40495
570 13.8656 0.768271 4.71843
580 13.8842 0.765193 4.46244
590 13.8842 0.765193 4.5428
600 13.8842 0.765193 4.31222
610 13.8837 0.765275 4.20567
620 13.8494 0.770977 4.40639
630 13.8329 0.77373 4.72163
640 13.8078 0.777952 4.51386
650 13.8078 0.777952 4.82537
660 13.8238 0.775266 4.65076
670 13.8238 0.775266 4.71483
680 13.8516 0.77061 4.64105
690 13.8516 0.77061 4.73293
700 13.8572 0.769674 4.7532
710 13.8895 0.764309 4.16555
720 13.8464 0.771465 4.33359
730 13.8166 0.776479 4.66276
740 13.8438 0.771913 4.78164
750 13.8438 0.771913 4.91124
760 13.8627 0.768756 4.63816
770 13.8745 0.766789 4.48318
780 13.871 0.767366 4.68939
790 13.871 0.767366 4.42651
800 13.8633 0.768647 4.42939
810 13.8723 0.767161 4.55712
820 13.8723 0.767161 4.32691
830 13.8723 0.767161 4.61259
840 13.8795 0.765972 4.51492
850 13.8602 0.769172 4.45989
860 13.8345 0.773462 4.71578
870 13.8414 0.772302 4.61804
880 13.8414 0.772302 4.64827
890 13.8414 0.772302 4.56417
900 13.8414 0.772302 4.45233
910 13.8577 0.769586 4.64001
920 13.8577 0.769586 4.52518
930 13.8621 0.768846 4.44626
940 13.8072 0.778067 4.77067
950 13.8072 0.778067 4.66233
960 13.8138 0.776939 4.76926
970 13.8373 0.772996 4.27744
980 13.8373 0.772996 4.41189
990 13.8373 0.772996 4.14194
1000 13.8373 0.772996 4.49712
1010 13.8576 0.769595 4.41241
1020 13.842 0.772208 4.77098
1030 13.842 0.772208 4.55457
1040 13.8332 0.773689 4.7296
1050 13.8103 0.77753 4.86777
1060 13.8716 0.767267 4.45727
1070 13.866 0.768197 4.26604
1080 13.9205 0.759219 4.17498
1090 13.9028 0.762116 4.35693
1100 13.9331 0.757166 4.18428
1110 13.8972 0.763036 4.43592
1120 13.8709 0.767382 4.67805
1130 13.8709 0.767382 4.46741
1140 13.8709 0.767382 4.30861
1150 13.8983 0.762857 4.08129
1160 13.8983 0.762857 4.04566
1170 13.9076 0.761335 4.38357
1180 13.9111 0.760759 4.07923
1190 13.8593 0.769325 4.32055
1200 13.8634 0.768637 4.55643
1210 13.8426 0.772114 4.7156
1220 13.863 0.768701 4.32328
1230 13.8665 0.768115 4.69347
1240 13.8531 0.770343 4.98607
1250 13.8346 0.773443 4.68308
1260 13.8715 0.767292 4.28487
1270 13.8715 0.767292 4.42609
1280 13.8904 0.764161 4.24675
1290 13.8867 0.764775 4.24966
1300 13.8867 0.764775 4.30936
1310 13.8695 0.767621 4.64807
1320 13.8757 0.766588 4.77623
1330 13.9168 0.759829 4.3429
1340 13.9168 0.759829 4.67902
1350 13.9165 0.759876 4.49801
1360 13.931 0.757495 4.26991
1370 13.931 0.757495 4.37867
1380 13.8406 0.772448 4.83109
1390 13.8406 0.772448 4.49297
1400 13.8657 0.768257 4.40273
1410 13.883 0.765377 4.35922
1420 13.8512 0.770666 4.63464
1430 13.8232 0.775369 4.79566
1440 13.8337 0.773601 4.42874
1450 13.8868 0.764761 4.2164
1460 13.8868 0.764761 4.32679
1470 13.8868 0.764761 4.48006
1480 13.8868 0.764761 4.35048
1490 13.8868 0.764761 4.56639
1500 13.8844 0.765147 4.45041
1510 13.8844 0.765147 4.33557
1520 13.8897 0.764278 4.37521
1530 13.8955 0.763321 4.56466
1540 13.9221 0.758952 4.55484
1550 13.9221 0.758952 4.26094
1560 13.9221 0.758952 4.35371
1570 13.9221 0.758952 4.29998
1580 13.9114 0.760711 4.47397
1590 13.8585 0.769459 5.03043
1600 13.8585 0.769459 4.38548
1610 13.9092 0.761061 4.4468
1620 13.9343 0.756961 4.26872
1630 13.8647 0.768426 4.57276
1640 13.8647 0.768426 4.70265
1650 13.8647 0.768426 4.4302
1660 13.8647 0.768426 4.63661
1670 13.869 0.767698 4.50299
1680 13.869 0.767698 4.73398
1690 13.869 0.767698 4.4495
1700 13.869 0.767698 4.45752
1710 13.84 0.772533 4.35464
1720 13.84 0.772533 4.59995
1730 13.8731 0.767017 4.23953
1740 13.8731 0.767017 4.36553
1750 13.8731 0.767017 4.47704
1760 13.8731 0.767017 4.74978
1770 13.9007 0.762473 4.29309
1780 13.8878 0.764587 4.47844
1790 13.8878 0.764587 4.3082
1800 13.8622 0.768831 4.66468
1810 13.8742 0.766843 4.48356
1820 13.8651 0.768354 4.38609
1830 13.8651 0.768354 4.69986
1840 13.8645 0.768457 4.73971
1850 13.8738 0.766913 4.46794
1860 13.8738 0.766913 4.73146
1870 13.8738 0.766913 4.61885
1880 13.8806 0.765783 4.48867
1890 13.8904 0.764164 4.38229
1900 13.8696 0.767607 4.53158
1910 13.8559 0.769888 4.55107
1920 13.8434 0.771977 4.44268
1930 13.8438 0.771901 4.66725
1940 13.8746 0.766783 4.31325
1950 13.9026 0.76215 4.08191
1960 13.8798 0.765914 4.51742
1970 13.8696 0.767602 4.52529
1980 13.8696 0.767602 4.48088
1990 13.8572 0.769662 4.40636
2000 13.8541 0.77019 4.52803
2010 13.8541 0.77019 4.67179
2020 13.8541 0.77019 4.32367
2030 13.8541 0.77019 4.50443
2040 13.856 0.76987 4.59831
2050 13.8751 0.766696 4.61047
2060 13.8751 0.766696 4.41622
2070 13.8621 0.768853 4.74148
2080 13.891 0.764065 4.38804
2090 13.891 0.764065 4.18262
2100 13.9044 0.761855 4.20793
2110 13.8714 0.767307 4.33948
2120 13.8321 0.773869 4.52262
2130 13.8818 0.765576 4.31894
2140 13.822 0.775568 4.76819
2150 13.8445 0.771793 4.41191
2160 13.8445 0.771793 4.71
2170 13.8445 0.771793 4.80616
2180 13.8499 0.770885 4.31461
2190 13.8499 0.770885 4.46154
2200 13.844 0.771868 4.42836
2210 13.8585 0.769449 4.3298
2220 13.8435 0.771953 4.38513
2230 13.8676 0.767933 4.63595
2240 13.8568 0.769733 4.61683
2250 13.8754 0.766648 4.63179
2260 13.8016 0.779015 4.83261
2270 13.8397 0.772594 4.50307
2280 13.841 0.772366 4.69554
2290 13.841 0.772366 4.60514
2300 13.8368 0.773075 4.80813
2310 13.8368 0.773075 4.97308
2320 13.8287 0.774441 4.60507
2330 13.8287 0.774441 4.6706
2340 13.8733 0.766995 4.22188
2350 13.8569 0.769714 4.81807
2360 13.8569 0.769714 4.54266
2370 13.8651 0.768348 4.34614
2380 13.8651 0.768348 4.78803
2390 13.8651 0.768348 4.30004
2400 13.8651 0.768348 4.48872
2410 13.8651 0.768348 4.49599
2420 13.8651 0.768348 4.27702
2430 13.8511 0.77068 4.4316
2440 13.8511 0.77068 4.56178
2450 13.8526 0.770438 4.64639
2460 13.891 0.764059 4.26588
2470 13.891 0.764059 4.12906
2480 13.891 0.764059 4.26673
2490 13.8601 0.769192 4.52453
2500 13.8601 0.769192 4.81651
2510 13.8601 0.769192 4.63076
2520 13.8601 0.769192 4.52725
2530 13.8705 0.767458 4.52706
2540 13.8923 0.763842 4.3976
2550 13.8718 0.767243 4.45476
2560 13.8688 0.767731 4.61003
2570 13.8237 0.775277 4.88648
