#step  box_length  density  pressure
10000 13.4641 0.839068 0.044471
10010 13.4641 0.839068 -0.101208
10020 13.4616 0.839545 0.0293783
10030 13.4616 0.839545 0.070178
10040 13.4628 0.839305 0.154587
10050 13.4594 0.839953 0.213148
10060 13.4453 0.842596 0.214991
10070 13.4453 0.842596 0.234193
10080 13.474 0.837216 -0.0200319
10090 13.4614 0.839568 0.296449
10100 13.4476 0.842167 0.343561
10110 13.4502 0.841673 0.313764
10120 13.4502 0.841673 0.25892
10130 13.4804 0.836027 0.0790671
10140 13.4667 0.838585 0.156495
10150 13.4667 0.838585 0.114765
10160 13.4667 0.838585 0.0556737
10170 13.4667 0.838585 0.151263
10180 13.4655 0.838809 0.239951
10190 13.4682 0.838307 0.177669
10200 13.4682 0.838307 0.198575
10210 13.4729 0.83742 0.19955
10220 13.4729 0.83742 0.0980688
10230 13.4729 0.83742 0.0708054
10240 13.4729 0.83742 0.0823582
10250 13.4729 0.83742 0.0580465
10260 13.4729 0.83742 -0.0452191
10270 13.4717 0.83765 -0.0228718
10280 13.4717 0.83765 -0.0483007
10290 13.4717 0.83765 -0.0119804
10300 13.4614 0.839568 0.012922
10310 13.4457 0.842514 0.206244
10320 13.4603 0.839772 0.106439
10330 13.4603 0.839772 0.186613
10340 13.4603 0.839772 -0.049589
10350 13.4476 0.842164 0.204407
10360 13.4499 0.841724 0.145387
10370 13.4335 0.844811 0.253406
10380 13.4335 0.844811 0.0726597
10390 13.4512 0.841491 0.0672976
10400 13.4512 0.841491 0.177997
10410 13.4512 0.841491 0.119603
10420 13.4512 0.841491 0.270698
10430 13.4512 0.841491 0.213364
10440 13.4512 0.841491 0.041529
10450 13.463 0.839269 0.0641087
10460 13.474 0.837225 0.116905
10470 13.474 0.837225 0.0399132
10480 13.474 0.837225 0.0123271
10490 13.4704 0.837885 0.0478379
10500 13.4704 0.837885 -0.055159
10510 13.4704 0.837885 0.049078
10520 13.4704 0.837885 -0.021817
10530 13.4704 0.837885 0.106523
10540 13.4704 0.837885 0.134364
10550 13.4704 0.837885 0.00476801
10560 13.4704 0.837885 0.107143
10570 13.4704 0.837885 0.0814755
10580 13.4704 0.837885 -0.0166822
10590 13.4809 0.835935 -0.0555791
10600 13.4592 0.839985 0.194786
10610 13.4503 0.841656 0.168867
10620 13.4503 0.841656 0.168357
10630 13.473 0.837404 -0.00379741
10640 13.4543 0.840913 0.260015
10650 13.4398 0.843634 0.234505
10660 13.4398 0.843634 0.202563
10670 13.4379 0.843989 0.131826
10680 13.4379 0.843989 0.205579
10690 13.4474 0.842201 0.161953
10700 13.4474 0.842201 0.0121385
10710 13.4365 0.844258 0.196086
10720 13.4303 0.845417 0.224921
10730 13.4303 0.845417 0.13837
10740 13.4303 0.845417 0.179747
10750 13.4303 0.845417 0.229278
10760 13.4303 0.845417 0.217358
10770 13.4303 0.845417 0.0273392
10780 13.4166 0.848018 0.125424
10790 13.427 0.84604 0.131943
10800 13.4339 0.844744 0.204932
10810 13.4339 0.844744 0.276659
10820 13.4302 0.845437 0.2131
10830 13.4317 0.845162 0.200607
10840 13.4659 0.838725 -0.0369661
10850 13.4659 0.838725 0.0846702
10860 13.4591 0.840009 -0.00671089
10870 13.4591 0.840009 -0.0154444
10880 13.4591 0.840009 0.159439
10890 13.4591 0.840009 0.0921779
10900 13.4367 0.844204 0.0821447
10910 13.4367 0.844204 0.0360497
10920 13.4367 0.844204 0.144549
10930 13.4367 0.844204 0.193061
10940 13.4428 0.843059 0.093767
10950 13.4428 0.843059 0.154423
10960 13.4692 0.838111 0.0503285
10970 13.4826 0.835629 0.0991374
10980 13.45 0.841704 0.230374
10990 13.4617 0.839519 0.191042
11000 13.4757 0.836905 -0.0221092
11010 13.4757 0.836905 -0.0245036
11020 13.4757 0.836905 -0.057449
11030 13.4757 0.836905 0.0415916
11040 13.4757 0.836905 0.086841
11050 13.4757 0.836905 0.0159635
11060 13.4757 0.836905 -0.00980353
11070 13.4757 0.836905 0.0204186
11080 13.4479 0.842107 0.136379
11090 13.4479 0.842107 0.0921978
11100 13.4479 0.842107 0.23384
11110 13.429 0.845676 0.255879
11120 13.429 0.845676 0.248869
11130 13.4368 0.84419 0.293347
11140 13.4368 0.84419 0.287842
11150 13.4368 0.84419 0.269856
11160 13.4406 0.843478 0.350185
11170 13.4406 0.843478 0.184397
11180 13.4406 0.843478 0.199802
11190 13.4357 0.844399 0.115164
11200 13.4357 0.844408 0.12765
11210 13.4269 0.846072 0.219689
11220 13.4269 0.846072 0.0982767
11230 13.4269 0.846072 0.240839
11240 13.4269 0.846072 0.288879
11250 13.4722 0.837548 0.0259537
11260 13.4736 0.8373 0.0194461
11270 13.4597 0.839891 0.178827
11280 13.4597 0.839891 0.104109
11290 13.4275 0.845956 0.366626
11300 13.4781 0.836467 -0.0302678
11310 13.4781 0.836467 0.0165167
11320 13.4781 0.836467 0.0327694
11330 13.4653 0.83885 0.0654831
11340 13.4653 0.83885 -0.0743103
11350 13.4653 0.83885 0.172019
11360 13.4725 0.837493 0.053515
11370 13.4725 0.837493 0.0351114
11380 13.4725 0.837493 0.130092
11390 13.4725 0.837493 0.0776579
11400 13.4725 0.837493 0.217083
11410 13.4725 0.837493 -0.00314295
11420 13.4586 0.840101 0.157337
11430 13.4586 0.840101 0.0982562
11440 13.4578 0.840245 0.124943
11450 13.4406 0.843486 0.266449
11460 13.4423 0.843162 0.279679
11470 13.4423 0.843162 0.214127
11480 13.4641 0.839079 0.129366
